Date,Close,Volume
01-02-15,46.76,27913852
01-05-15,46.33,39673865
01-06-15,45.65,36447854
01-07-15,46.23,29114061
01-08-15,47.59,29645202
01-09-15,47.19,23944181
01-12-15,46.6,23651887
1/13/2015 16:00:00,46.36,35270601
1/14/2015 16:00:00,45.96,29719580
1/15/2015 16:00:00,45.48,32750779
1/16/2015 16:00:00,46.24,35695289
1/20/2015 16:00:00,46.39,36161860
1/21/2015 16:00:00,45.92,39081143
1/22/2015 16:00:00,47.13,35898035
1/23/2015 16:00:00,47.18,26211594
1/26/2015 16:00:00,47.01,42525530
1/27/2015 16:00:00,42.66,169163953
1/28/2015 16:00:00,41.19,84507078
1/29/2015 16:00:00,42.01,63585273
1/30/2015 16:00:00,40.4,78004944
02-02-15,41.28,50352532
02-03-15,41.6,52082448
02-04-15,41.84,41614812
02-05-15,42.45,36548168
02-06-15,42.41,34616554
02-09-15,42.36,31381061
02-10-15,42.6,29670676
02-11-15,42.38,38262509
02-12-15,43.09,33268831
2/13/2015 16:00:00,43.87,40264887
2/17/2015 16:00:00,43.58,33695749
2/18/2015 16:00:00,43.53,27111657
2/19/2015 16:00:00,43.5,27603420
2/20/2015 16:00:00,43.86,29721133
2/23/2015 16:00:00,44.15,32518754
2/24/2015 16:00:00,44.09,25271747
2/25/2015 16:00:00,43.99,29759820
2/26/2015 16:00:00,44.06,28957329
2/27/2015 16:00:00,43.85,33807740
03-02-15,43.88,31924049
03-03-15,43.28,31748648
03-04-15,43.06,25748692
03-05-15,43.11,23193541
03-06-15,42.36,36248785
03-09-15,42.85,32107957
03-10-15,42.03,39159730
03-11-15,41.98,32215314
03-12-15,41.02,59992502
3/13/2015 16:00:00,41.38,58007705
3/16/2015 16:00:00,41.56,35273452
3/17/2015 16:00:00,41.7,31673448
3/18/2015 16:00:00,42.5,44194771
3/19/2015 16:00:00,42.29,33879066
3/20/2015 16:00:00,42.88,71904529
3/23/2015 16:00:00,42.86,26246086
3/24/2015 16:00:00,42.9,25513252
3/25/2015 16:00:00,41.46,43469907
3/26/2015 16:00:00,41.21,37495627
3/27/2015 16:00:00,40.97,34401398
3/30/2015 16:00:00,40.96,35049662
3/31/2015 16:00:00,40.66,34887219
04-01-15,40.72,36865322
04-02-15,40.29,37487476
04-06-15,41.55,39223692
04-07-15,41.53,28809375
04-08-15,41.42,24753438
04-09-15,41.48,25723861
04-10-15,41.72,28022002
4/13/2015 16:00:00,41.76,30276692
4/14/2015 16:00:00,41.65,24244382
4/15/2015 16:00:00,42.26,27343581
4/16/2015 16:00:00,42.16,22509652
